file,line,column,kind,raw_string,suggested_key,context
app/applications/erp/finance/components/mouvement-row/mouvement-row.component.ts,7,1,type_label,Règl. client,finance.components.label.regl-client,TYPE_LABELS.REGLEMENT_CLIENT
app/applications/erp/finance/components/mouvement-row/mouvement-row.component.ts,8,35,type_label,Règl. fourn.,finance.components.label.regl-fourn,TYPE_LABELS.REGLEMENT_FOURN
app/applications/erp/finance/components/mouvement-row/mouvement-row.component.ts,14,32,type_label,Dépense div.,finance.components.label.depense-div,TYPE_LABELS.AUTRE_DEPENSE
app/applications/erp/finance/components/mouvement-row/mouvement-row.component.ts,73,45,inline_template_attr,Rapproché,finance.components.label.rapproche,title=…
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,45,16,inline_template_text,Mouvements comptables non rapprochés,finance.components.text.mouvements-comptables-non-rapproches,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,72,36,inline_template_text,Tous les mouvements sont rapprochés ✓,finance.components.text.tous-les-mouvements-sont,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,100,16,inline_template_text,Lignes relevé bancaire non matchées,finance.components.text.lignes-releve-bancaire-non,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,126,21,inline_template_attr,Créer un mouvement comptable depuis cette ligne,finance.components.label.creer-un-mouvement-comptable,title=…
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,134,36,inline_template_text,Toutes les lignes du relevé sont matchées ✓,finance.components.text.toutes-les-lignes-du,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,143,38,inline_template_text,Rapprochements en cours,finance.components.text.rapprochements-en-cours,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,148,20,inline_template_text,Ligne relevé,finance.components.text.ligne-releve,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,150,39,inline_template_text,Relevé,finance.components.text.releve,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,151,39,inline_template_text,Écart,finance.components.text.ecart,>…<
app/applications/erp/finance/components/rapprochement-matcher/rapprochement-matcher.component.ts,184,27,inline_template_attr,Délier ce rapprochement,finance.components.label.delier-ce-rapprochement,title=…
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,107,12,inline_template_text,Import du relevé bancaire,finance.components.text.import-du-releve-bancaire,>…<
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,131,46,inline_template_text,Ou collez le contenu CSV ci-dessous,finance.components.text.ou-collez-le-contenu,>…<
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,136,17,inline_template_attr,"Date,Libellé,Référence,Crédit,Débit&#10;2026-04-15,Vir. OCP Promotion,VIR-OCP-001,1504800,&#10;2026-04-16,Frais bancaires,,,180",finance.components.label.date-libelle-reference-credit,placeholder=…
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,155,50,inline_template_text,en erreur,finance.components.text.en-erreur,>…<
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,166,24,inline_template_text,Date,finance.components.text.date,>…<
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,167,24,inline_template_text,Libellé,finance.components.text.libelle,>…<
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,168,24,inline_template_text,Réf.,finance.components.text.ref,>…<
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,169,44,inline_template_text,Crédit,finance.components.text.credit,>…<
app/applications/erp/finance/components/releve-import-dialog/releve-import-dialog.component.ts,170,44,inline_template_text,Débit,finance.components.text.debit,>…<
app/applications/erp/finance/components/taux-change-converter/taux-change-converter.component.ts,17,17,inline_template_text,Montant,finance.components.text.montant,>…<
app/applications/erp/finance/components/taux-change-converter/taux-change-converter.component.ts,34,17,inline_template_text,Vers,finance.components.text.vers,>…<
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,169,7,error,Aucune ligne sélectionnée.,finance.mock.error.aucune-ligne-selectionnee,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,177,26,error,Ligne introuvable pour ${key},finance.mock.error.ligne-introuvable-pour-key,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,340,18,error,Écriture ${id} introuvable,finance.mock.error.ecriture-id-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,343,7,error,Une écriture clôturée ne peut pas être modifiée.,finance.mock.error.une-ecriture-cloturee-ne,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,375,18,error,Écriture ${id} introuvable,finance.mock.error.ecriture-id-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,378,7,error,Écriture non équilibrée — impossible de valider.,finance.mock.error.ecriture-non-equilibree-impossible,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,399,7,error,Seules les écritures BROUILLON peuvent être supprimées.,finance.mock.error.seules-les-ecritures-brouillon,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,408,15,error,Écriture ${id} introuvable,finance.mock.error.ecriture-id-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,410,7,error,Seule une écriture VALIDEE peut être contre-passée.,finance.mock.error.seule-une-ecriture-validee,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,533,7,error,Seule une facture BROUILLON peut être supprimée.,finance.mock.error.seule-une-facture-brouillon,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,545,7,error,Seule une facture BROUILLON peut être validée.,finance.mock.error.seule-une-facture-brouillon,throw new Error(…)
app/applications/erp/finance/mock/finance-tresorerie-mock.service.ts,396,18,error,Règlement ${id} introuvable,finance.mock.error.reglement-id-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-tresorerie-mock.service.ts,410,18,error,Règlement ${id} introuvable,finance.mock.error.reglement-id-introuvable,throw new Error(…)
app/applications/erp/inventory/components/inventaire-lines-editor/inventaire-lines-editor.component.ts,59,18,inline_template_text,Désignation,inventory.components.text.designation,>…<
app/applications/erp/inventory/components/inventaire-lines-editor/inventaire-lines-editor.component.ts,60,35,inline_template_text,Qté théorique,inventory.components.text.qte-theorique,>…<
app/applications/erp/inventory/components/inventaire-lines-editor/inventaire-lines-editor.component.ts,61,35,inline_template_text,Qté comptée,inventory.components.text.qte-comptee,>…<
app/applications/erp/inventory/components/inventaire-lines-editor/inventaire-lines-editor.component.ts,62,35,inline_template_text,Écart,inventory.components.text.ecart,>…<
app/applications/erp/inventory/components/inventaire-lines-editor/inventaire-lines-editor.component.ts,63,18,inline_template_text,Unité,inventory.components.text.unite,>…<
app/applications/erp/inventory/components/inventaire-lines-editor/inventaire-lines-editor.component.ts,125,21,inline_template_attr,Supprimer la ligne,inventory.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/inventory/components/inventaire-lines-editor/inventaire-lines-editor.component.ts,135,58,inline_template_text,Écart total,inventory.components.text.ecart-total,>…<
app/applications/erp/inventory/components/perte-lines-editor/perte-lines-editor.component.ts,58,18,inline_template_text,Désignation,inventory.components.text.designation,>…<
app/applications/erp/inventory/components/perte-lines-editor/perte-lines-editor.component.ts,60,18,inline_template_text,Unité,inventory.components.text.unite,>…<
app/applications/erp/inventory/components/perte-lines-editor/perte-lines-editor.component.ts,62,20,inline_template_text,Cause détaillée,inventory.components.text.cause-detaillee,>…<
app/applications/erp/inventory/components/perte-lines-editor/perte-lines-editor.component.ts,124,21,inline_template_attr,Supprimer la ligne,inventory.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/inventory/components/reception-lines-editor/reception-lines-editor.component.ts,45,18,inline_template_text,Désignation,inventory.components.text.designation,>…<
app/applications/erp/inventory/components/reception-lines-editor/reception-lines-editor.component.ts,46,35,inline_template_text,Qté reçue,inventory.components.text.qte-recue,>…<
app/applications/erp/inventory/components/reception-lines-editor/reception-lines-editor.component.ts,48,35,inline_template_text,Total,inventory.components.text.total,>…<
app/applications/erp/inventory/components/reception-lines-editor/reception-lines-editor.component.ts,49,18,inline_template_text,Unité,inventory.components.text.unite,>…<
app/applications/erp/inventory/components/reception-lines-editor/reception-lines-editor.component.ts,57,51,inline_template_text,"Aucune ligne — cliquez sur ""Ligne"" pour ajouter un article",inventory.components.text.aucune-ligne-cliquez-sur,>…<
app/applications/erp/inventory/components/reception-lines-editor/reception-lines-editor.component.ts,123,21,inline_template_attr,Supprimer la ligne,inventory.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/inventory/components/reception-lines-editor/reception-lines-editor.component.ts,133,58,inline_template_text,Total réception,inventory.components.text.total-reception,>…<
app/applications/erp/inventory/components/retour-lines-editor/retour-lines-editor.component.ts,57,18,inline_template_text,Désignation,inventory.components.text.designation,>…<
app/applications/erp/inventory/components/retour-lines-editor/retour-lines-editor.component.ts,58,35,inline_template_text,Qté retournée,inventory.components.text.qte-retournee,>…<
app/applications/erp/inventory/components/retour-lines-editor/retour-lines-editor.component.ts,59,18,inline_template_text,Unité,inventory.components.text.unite,>…<
app/applications/erp/inventory/components/retour-lines-editor/retour-lines-editor.component.ts,60,18,inline_template_text,État article,inventory.components.text.etat-article,>…<
app/applications/erp/inventory/components/retour-lines-editor/retour-lines-editor.component.ts,99,31,inline_template_text,État,inventory.components.text.etat,>…<
app/applications/erp/inventory/components/retour-lines-editor/retour-lines-editor.component.ts,127,21,inline_template_attr,Supprimer la ligne,inventory.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/inventory/components/transfert-lines-editor/transfert-lines-editor.component.ts,47,18,inline_template_text,Désignation,inventory.components.text.designation,>…<
app/applications/erp/inventory/components/transfert-lines-editor/transfert-lines-editor.component.ts,50,18,inline_template_text,Unité,inventory.components.text.unite,>…<
app/applications/erp/inventory/components/transfert-lines-editor/transfert-lines-editor.component.ts,109,21,inline_template_attr,Supprimer la ligne,inventory.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,10,10,template_text,Matrice fournisseurs × critères,achats.appels-offres.text.matrice-fournisseurs-criteres,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,11,22,template_text,"Pondération : prix /50, délai /15, qualité /15, historique /10, conformité Art.187 (proxy) /10.",achats.appels-offres.text.ponderation-prix-50-delai,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,17,30,template_text,Total HT,achats.appels-offres.text.total-ht,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,18,30,template_text,Délai (j),achats.appels-offres.text.delai,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,20,30,template_text,Délai /15,achats.appels-offres.text.delai-15,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,21,30,template_text,Qualité /15,achats.appels-offres.text.qualite-15,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,47,35,template_text,Aucune offre reçue pour cet AO.,achats.appels-offres.text.aucune-offre-recue-pour,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.html,58,73,template_text,← Retour fiche AO,achats.appels-offres.text.retour-fiche-ao,>…<
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.ts,94,14,toast,Justification requise pour tracer l’override (erpAudit).,achats.appels-offres.toast.justification-requise-pour-tracer,toast.error()
app/applications/erp/pages/achats/appels-offres/ao-comparatif/ao-comparatif.page.ts,101,12,toast,BC ${bc.numero} créé depuis l’offre sélectionnée.,achats.appels-offres.toast.bc-bc-numero-cree,toast.success()
app/applications/erp/pages/achats/appels-offres/config/listing/columns.ts,6,25,status_label,Publiée,achats.appels-offres.status.publiee,AO_STATUS_LABELS.PUBLIEE
app/applications/erp/pages/achats/appels-offres/config/listing/columns.ts,6,45,status_label,Clôturée,achats.appels-offres.status.cloturee,AO_STATUS_LABELS.CLOTUREE
app/applications/erp/pages/achats/appels-offres/config/listing/columns.ts,6,67,status_label,Attribuée,achats.appels-offres.status.attribuee,AO_STATUS_LABELS.ATTRIBUEE
app/applications/erp/pages/achats/appels-offres/config/listing/columns.ts,7,55,status_label,Annulée,achats.appels-offres.status.annulee,AO_STATUS_LABELS.ANNULEE
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,20,10,template_text,Réceptions & 3-way matching,achats.commandes.text.receptions-3-way-matching,>…<
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,42,30,template_text,Qté cmd,achats.commandes.text.qte-cmd,>…<
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,43,30,template_text,Qté reçue,achats.commandes.text.qte-recue,>…<
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,44,30,template_text,Qté fact.,achats.commandes.text.qte-fact,>…<
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,47,30,template_text,Écart qté %,achats.commandes.text.ecart-qte,>…<
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,48,30,template_text,Écart px %,achats.commandes.text.ecart-px,>…<
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,68,32,template_text,"Tolérance démo : ±2&nbsp;% prix, ±5&nbsp;% quantités (paramétrable).",achats.commandes.text.tolerance-demo-nbsp-prix,>…<
app/applications/erp/pages/achats/commandes/bc-detail/bc-detail.page.html,70,32,template_text,Analyse matching en cours…,achats.commandes.text.analyse-matching-en-cours,>…<
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,6,25,status_label,Validé,achats.commandes.status.valide,BC_STATUS_LABELS.VALIDE
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,6,43,status_label,Envoyé,achats.commandes.status.envoye,BC_STATUS_LABELS.ENVOYE
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,6,61,status_label,AR reçu,achats.commandes.status.ar-recu,BC_STATUS_LABELS.ACCUSE_RECEPTION
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,7,30,status_label,Part. livré,achats.commandes.status.part-livre,BC_STATUS_LABELS.PARTIELLEMENT_LIVRE
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,7,66,status_label,Livré,achats.commandes.status.livre,BC_STATUS_LABELS.LIVRE
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,8,17,status_label,Facturé,achats.commandes.status.facture,BC_STATUS_LABELS.FACTURE
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,8,37,status_label,Clôturé,achats.commandes.status.cloture,BC_STATUS_LABELS.CLOTURE
app/applications/erp/pages/achats/commandes/config/listing/columns.ts,8,57,status_label,Annulé,achats.commandes.status.annule,BC_STATUS_LABELS.ANNULE
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,27,15,inline_template_text,Tél.,achats.commandes.text.tel,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,41,32,inline_template_text,BON DE COMMANDE N°,achats.commandes.text.bon-de-commande,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,43,15,inline_template_text,Date :,achats.commandes.text.date,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,44,15,inline_template_text,Livraison prévue :,achats.commandes.text.livraison-prevue,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,54,16,inline_template_text,Chantier de livraison,achats.commandes.text.chantier-de-livraison,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,62,33,inline_template_text,Désignation,achats.commandes.text.designation,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,62,90,inline_template_text,Unité,achats.commandes.text.unite,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,62,144,inline_template_text,Total HT,achats.commandes.text.total-ht,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,77,40,inline_template_text,Total HT,achats.commandes.text.total-ht,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,79,54,inline_template_text,TOTAL TTC,achats.commandes.text.total-ttc,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,89,36,inline_template_text,Accusé réception Fournisseur,achats.commandes.text.accuse-reception-fournisseur,>…<
app/applications/erp/pages/achats/commandes/print/bc-print.component.ts,93,13,inline_template_text,— SARL AU —  — ICE,achats.commandes.text.sarl-au-ice,>…<
app/applications/erp/pages/achats/commandes/services/bc-api.service.ts,71,13,error,Bon de commande ${id} introuvable,achats.commandes.error.bon-de-commande-id,throw new Error(…)
app/applications/erp/pages/achats/contrats/config/listing/columns.ts,5,24,status_label,Signé,achats.contrats.status.signe,CT_STATUS_LABELS.SIGNE
app/applications/erp/pages/achats/contrats/config/listing/columns.ts,5,40,status_label,En cours,achats.contrats.status.en-cours,CT_STATUS_LABELS.EN_COURS
app/applications/erp/pages/achats/contrats/config/listing/columns.ts,5,62,status_label,Échu,achats.contrats.status.echu,CT_STATUS_LABELS.ECHU
app/applications/erp/pages/achats/contrats/config/listing/columns.ts,5,76,status_label,Résilié,achats.contrats.status.resilie,CT_STATUS_LABELS.RESILIE
app/applications/erp/pages/achats/demandes/config/listing/columns.ts,6,45,status_label,Approuvée,achats.demandes.status.approuvee,DA_STATUS_LABELS.APPROUVEE
app/applications/erp/pages/achats/demandes/config/listing/columns.ts,7,25,status_label,Rejetée,achats.demandes.status.rejetee,DA_STATUS_LABELS.REJETEE
app/applications/erp/pages/achats/demandes/demande-detail/demande-detail.page.ts,65,19,prompt,Motif de rejet :,achats.demandes.confirm.motif-de-rejet,prompt(…)
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,52,34,inline_template_text,Total,administration.audit-log.text.total,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,66,33,inline_template_text,entrées,administration.audit-log.text.entrees,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,76,45,inline_template_attr,"Utilisateur, entité, ref, détail…",administration.audit-log.label.utilisateur-entite-ref-detail,placeholder=…
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,80,27,inline_template_text,Tous utilisateurs,administration.audit-log.text.tous-utilisateurs,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,85,27,inline_template_text,Toutes actions,administration.audit-log.text.toutes-actions,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,90,27,inline_template_text,Tous types,administration.audit-log.text.tous-types,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,104,38,inline_template_text,/  total,administration.audit-log.text.total,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,117,16,inline_template_text,Utilisateur,administration.audit-log.text.utilisateur,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,119,16,inline_template_text,Type entité,administration.audit-log.text.type-entite,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,120,16,inline_template_text,Référence,administration.audit-log.text.reference,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,121,16,inline_template_text,Détail,administration.audit-log.text.detail,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,141,26,inline_template_text,Détail complet,administration.audit-log.text.detail-complet,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,147,48,inline_template_text,Aucune entrée ne correspond aux filtres.,administration.audit-log.text.aucune-entree-ne-correspond,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,156,96,inline_template_text,← Précédente,administration.audit-log.text.precedente,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,33,54,inline_template_text,✓ Banque enregistrée,administration.banques.text.banque-enregistree,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,34,56,inline_template_text,✓ Banque supprimée,administration.banques.text.banque-supprimee,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,46,37,inline_template_text,Ajouter une banque au référentiel,administration.banques.text.ajouter-une-banque-au,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,57,23,inline_template_text,SWIFT / BIC (8 car.) *,administration.banques.text.swift-bic-car,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,90,83,inline_template_text,Annuler,administration.banques.text.annuler,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,91,79,inline_template_text,Créer la banque,administration.banques.text.creer-la-banque,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,141,84,inline_template_text,Éditer,administration.banques.text.editer,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,32,16,inline_template_text,Société modèle : SOMACOM BTP SARL,administration.demo-reset.text.societe-modele-somacom-btp,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,34,15,inline_template_text,Périmètre démo : 6 chantiers actifs · 12 marchés (4 publics + 8 privés) · 15 employés · 8 fournisseurs · HSE complet,administration.demo-reset.text.perimetre-demo-chantiers-actifs,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,43,18,inline_template_text,Réinitialiser toutes les données,administration.demo-reset.text.reinitialiser-toutes-les-donnees,>…<
